Data,Loja,Status
"02-04-2018 12:13:13",EMER_2360_AFA1_RF1,1
"02-04-2018 12:13:14",EMER_2372_AFA1_CG1,0
"02-04-2018 12:13:14",EMER_2372_AFA1_RF1,0
"02-04-2018 12:13:28",EMER_2375_AFA1_CG1,0
"02-04-2018 12:13:28",EMER_2375_AFA1_RF1,0
"02-04-2018 12:13:29",EMER_2378_AFA1_CG1,0
"02-04-2018 12:13:29",EMER_2378_AFA1_RF1,0
"02-04-2018 12:13:29",EMER_2379_AFA1_CG1,0
"02-04-2018 12:13:29",EMER_2379_AFA1_RF1,0
"02-04-2018 12:13:55",EMER_2382_AFA1_CG1,0
"02-04-2018 12:13:55",EMER_2382_AFA1_RF1,0
"02-04-2018 12:14:02",EMER_2384_AFA1_CG1,0
"02-04-2018 12:14:02",EMER_2384_AFA1_RF1,0
"02-04-2018 12:14:45",EMER_2400_AFA1_CG1,0
"02-04-2018 12:14:45",EMER_2400_AFA1_RF1,0
"02-04-2018 12:07:30",EMER_2435_AFA1_CG1,0
"02-04-2018 12:07:30",EMER_2435_AFA1_RF1,0
"02-04-2018 12:07:50",EMER_2457_AFA1_CG1,0
"02-04-2018 12:07:50",EMER_2457_AFA1_RF1,0
"02-04-2018 12:07:51",EMER_2459_AFA1_CG1,0
"02-04-2018 12:07:51",EMER_2459_AFA1_RF1,0
"02-04-2018 12:08:19",EMER_2469_AFA1_CG1,1
"02-04-2018 12:08:19",EMER_2469_AFA1_RF1,0
"02-04-2018 12:12:49",EMER_3324_AFA1_CG1,0
"02-04-2018 12:12:49",EMER_3324_AFA1_RF1,0
"02-04-2018 12:04:29",EVCO_0076_FA1_CG1,0
"02-04-2018 12:04:29",EVCO_0076_FA1_RF1,1
"02-04-2018 12:04:37",EVCO_0106_FA1_CG1,1
"02-04-2018 12:04:37",EVCO_0106_FA1_RF1,1
"02-04-2018 12:04:51",EVCO_0145_FA1_CG1,1
"02-04-2018 12:04:51",EVCO_0145_FA1_RF1,1
"02-04-2018 12:12:29",EVCO_0186_FA1_CG1,1
"02-04-2018 12:12:29",EVCO_0186_FA1_RF1,1
"02-04-2018 12:12:49",EVCO_0458_FA1_CG1,1
"02-04-2018 12:12:49",EVCO_0458_FA1_RF1,1
"02-04-2018 12:13:20",EVCO_0608_FA1_CG1,1
"02-04-2018 12:13:20",EVCO_0608_FA1_RF1,1
"02-04-2018 12:13:20",EVCO_0608_FA2_CG1,1
"02-04-2018 12:13:37",EVCO_1002_FA1_CG1,1
"02-04-2018 12:13:37",EVCO_1002_FA1_RF1,1
"02-04-2018 12:15:10",EVCO_1289_FA1_CG1,1
"02-04-2018 12:15:10",EVCO_1289_FA1_RF1,0
"02-04-2018 12:15:10",EVCO_1290_FA1_CG1,0
"02-04-2018 12:15:10",EVCO_1290_FA1_RF1,0
"02-04-2018 12:15:11",EVCO_1291_FA1_CG1,1
"02-04-2018 12:15:11",EVCO_1291_FA1_RF1,1
